timestamp,value,anomaly
0,98.59,0
1,101.63,0
2,101.58,0
3,105.21,0
4,104.88,0
5,100.04,0
6,105.11,0
7,102.80,0
8,107.21,0
9,100.88,0
10,104.46,0
11,103.74,0
12,104.84,0
13,104.26,0
14,108.15,0
15,108.95,0
16,111.07,0
17,111.50,0
18,110.86,0
19,111.81,0
20,112.41,0
21,108.21,0
22,112.41,0
23,109.32,0
24,105.60,0
25,106.52,0
26,108.50,0
27,113.60,0
28,112.83,0
29,112.74,0
30,106.77,0
31,114.21,0
32,114.40,0
33,111.70,0
34,112.12,0
35,115.14,0
36,108.83,0
37,112.62,0
38,117.14,0
39,118.44,0
40,110.04,0
41,119.36,0
42,118.88,0
43,110.70,0
44,114.54,0
45,111.90,0
46,119.02,0
47,116.45,0
48,111.68,0
49,114.90,0
50,114.76,0
51,114.37,0
52,115.58,0
53,116.96,0
54,120.62,0
55,120.46,0
56,116.76,0
57,120.44,0
58,117.11,0
59,115.72,0
60,121.02,0
61,117.26,0
62,119.19,0
63,118.14,0
64,116.73,0
65,118.41,0
66,114.92,0
67,114.79,0
68,121.00,0
69,115.63,0
70,119.67,0
71,117.67,0
72,114.98,0
73,115.15,0
74,120.03,0
75,119.15,0
76,123.80,0
77,124.29,0
78,115.98,0
79,121.41,0
80,115.14,0
81,115.86,0
82,119.32,0
83,123.43,0
84,122.30,0
85,116.40,0
86,120.14,0
87,120.04,0
88,120.00,0
89,116.42,0
90,122.01,0
91,116.59,0
92,119.03,0
93,116.19,0
94,120.29,0
95,121.84,0
96,118.09,0
97,113.94,0
98,118.32,0
99,122.66,0
100,115.87,0
101,115.96,0
102,118.99,0
103,113.52,0
104,122.03,0
105,118.32,0
106,121.45,0
107,111.90,0
108,115.54,0
109,113.53,0
110,114.81,0
111,118.96,0
112,118.58,0
113,112.45,0
114,119.61,0
115,113.48,0
116,117.80,0
117,117.75,0
118,119.09,0
119,113.18,0
120,108.62,0
121,112.06,0
122,111.28,0
123,111.92,0
124,109.25,0
125,109.74,0
126,110.03,0
127,110.77,0
128,110.84,0
129,107.98,0
130,111.30,0
131,107.53,0
132,111.88,0
133,107.56,0
134,107.30,0
135,111.85,0
136,111.25,0
137,110.18,0
138,106.07,0
139,105.56,0
140,104.63,0
141,105.11,0
142,103.11,0
